IncomeCategory,Date,HighestInfected
Lower middle income,04-06-2022,91789020
Low income,04-06-2022,2156158
High income,03-06-2022,313313388
Middle Class Income,03-06-2022,124677994
Lower middle income,03-06-2022,91781745
Low income,03-06-2022,2155264
High income,02-06-2022,312830155
Middle Class Income,02-06-2022,124626259
Lower middle income,02-06-2022,91774025
Low income,02-06-2022,2154420
High income,01-06-2022,312377251
Middle Class Income,01-06-2022,124558924
Lower middle income,01-06-2022,91765359
Low income,01-06-2022,2152910
High income,31-05-2022,311766781
Middle Class Income,31-05-2022,124482472
Lower middle income,31-05-2022,91754642
Low income,31-05-2022,2152188
High income,30-05-2022,311210293
Middle Class Income,30-05-2022,124420835
Lower middle income,30-05-2022,91748073
Low income,30-05-2022,2151391
High income,29-05-2022,310926711
Middle Class Income,29-05-2022,124368155
Lower middle income,29-05-2022,91741007
Low income,29-05-2022,2150455
High income,28-05-2022,310729918
Middle Class Income,28-05-2022,124294588
Lower middle income,28-05-2022,91734888
Low income,28-05-2022,2150312
High income,27-05-2022,310450699
Middle Class Income,27-05-2022,124250665
Lower middle income,27-05-2022,91729351
Low income,27-05-2022,2150054
High income,26-05-2022,309948311
Middle Class Income,26-05-2022,124190177
Lower middle income,26-05-2022,91723282
Low income,26-05-2022,2149368
High income,25-05-2022,309508596
Middle Class Income,25-05-2022,124134104
Lower middle income,25-05-2022,91716859
Low income,25-05-2022,2149054
High income,24-05-2022,308910698
Middle Class Income,24-05-2022,124096171
Lower middle income,24-05-2022,91709918
Low income,24-05-2022,2148267
High income,23-05-2022,308390180
Middle Class Income,23-05-2022,124029735
Lower middle income,23-05-2022,91702970
Low income,23-05-2022,2147716
High income,22-05-2022,307956232
Middle Class Income,22-05-2022,123979056
Lower middle income,22-05-2022,91695106
Low income,22-05-2022,2147322
High income,21-05-2022,307725792
Middle Class Income,21-05-2022,123896968
Lower middle income,21-05-2022,91691817
Low income,21-05-2022,2147139
High income,20-05-2022,307386907
Middle Class Income,20-05-2022,123874189
Lower middle income,20-05-2022,91686778
Low income,20-05-2022,2146784
High income,19-05-2022,306859926
Middle Class Income,19-05-2022,123781741
Lower middle income,19-05-2022,91680527
Low income,19-05-2022,2146598
High income,18-05-2022,306294925
Middle Class Income,18-05-2022,123758687
Lower middle income,18-05-2022,91673522
Low income,18-05-2022,2146118
High income,17-05-2022,305584631
Middle Class Income,17-05-2022,123717455
Lower middle income,17-05-2022,91665092
Low income,17-05-2022,2145732
High income,16-05-2022,305004748
Middle Class Income,16-05-2022,123695140
Lower middle income,16-05-2022,91658985
Low income,16-05-2022,2145562
High income,15-05-2022,304463988
Middle Class Income,15-05-2022,123655030
Lower middle income,15-05-2022,91650962
Low income,15-05-2022,2144418
High income,14-05-2022,304158812
Middle Class Income,14-05-2022,123592189
Lower middle income,14-05-2022,91645509
Low income,14-05-2022,2144291
High income,13-05-2022,303771752
Middle Class Income,13-05-2022,123547044
Lower middle income,13-05-2022,91639603
Low income,13-05-2022,2144043
High income,12-05-2022,303264986
Middle Class Income,12-05-2022,123489037
Lower middle income,12-05-2022,91631641
Low income,12-05-2022,2143836
High income,11-05-2022,302680917
Middle Class Income,11-05-2022,123433685
Lower middle income,11-05-2022,91619482
Low income,11-05-2022,2143492
High income,10-05-2022,302050001
Middle Class Income,10-05-2022,123377646
Lower middle income,10-05-2022,91612278
Low income,10-05-2022,2143204
High income,09-05-2022,301479432
Middle Class Income,09-05-2022,123318645
Lower middle income,09-05-2022,91601367
Low income,09-05-2022,2142617
High income,08-05-2022,300843412
Middle Class Income,08-05-2022,123277368
Lower middle income,08-05-2022,91588685
Low income,08-05-2022,2142235
High income,07-05-2022,300624953
Middle Class Income,07-05-2022,123224365
Lower middle income,07-05-2022,91581458
Low income,07-05-2022,2142086
High income,06-05-2022,300341825
Middle Class Income,06-05-2022,123177046
Lower middle income,06-05-2022,91573395
Low income,06-05-2022,2141667
High income,05-05-2022,299774497
Middle Class Income,05-05-2022,123123237
Lower middle income,05-05-2022,91564162
Low income,05-05-2022,2141578
High income,04-05-2022,299245018
Middle Class Income,04-05-2022,123063318
Lower middle income,04-05-2022,91554072
Low income,04-05-2022,2141438
High income,03-05-2022,298685544
Middle Class Income,03-05-2022,123004472
Lower middle income,03-05-2022,91545559
Low income,03-05-2022,2141201
High income,02-05-2022,298072263
Middle Class Income,02-05-2022,122953726
Lower middle income,02-05-2022,91537616
Low income,02-05-2022,2140993
High income,01-05-2022,297672739
Middle Class Income,01-05-2022,122915150
Lower middle income,01-05-2022,91528894
Low income,01-05-2022,2140434
High income,30-04-2022,297428504
Middle Class Income,30-04-2022,122860158
Lower middle income,30-04-2022,91518971
Low income,30-04-2022,2140242
High income,29-04-2022,297146085
Middle Class Income,29-04-2022,122800460
Lower middle income,29-04-2022,91507888
Low income,29-04-2022,2140179
High income,28-04-2022,296578061
Middle Class Income,28-04-2022,122738237
Lower middle income,28-04-2022,91494186
Low income,28-04-2022,2139847
High income,27-04-2022,295903589
Middle Class Income,27-04-2022,122668897
Lower middle income,27-04-2022,91479154
Low income,27-04-2022,2139399
High income,26-04-2022,295319267
Middle Class Income,26-04-2022,122588850
Lower middle income,26-04-2022,91459789
Low income,26-04-2022,2139287
High income,25-04-2022,294678120
Middle Class Income,25-04-2022,122511786
Lower middle income,25-04-2022,91399384
Low income,25-04-2022,2139055
High income,24-04-2022,294125853
Middle Class Income,24-04-2022,122440785
Lower middle income,24-04-2022,91386614
Low income,24-04-2022,2137845
High income,23-04-2022,293839826
Middle Class Income,23-04-2022,122376653
Lower middle income,23-04-2022,91371659
Low income,23-04-2022,2137734
High income,22-04-2022,293457245
Middle Class Income,22-04-2022,122298027
Lower middle income,22-04-2022,91354571
Low income,22-04-2022,2137678
High income,21-04-2022,292721314
Middle Class Income,21-04-2022,122221370
Lower middle income,21-04-2022,91335840
Low income,21-04-2022,2137565
High income,20-04-2022,291929138
Middle Class Income,20-04-2022,122131996
Lower middle income,20-04-2022,91296427
Low income,20-04-2022,2137067
High income,19-04-2022,291098908
Middle Class Income,19-04-2022,122024090
Lower middle income,19-04-2022,91274205
Low income,19-04-2022,2136893
High income,18-04-2022,290190381
Middle Class Income,18-04-2022,121943897
Lower middle income,18-04-2022,91245789
Low income,18-04-2022,2136466
High income,17-04-2022,289857726
Middle Class Income,17-04-2022,121868527
Lower middle income,17-04-2022,91196722
Low income,17-04-2022,2136307
High income,16-04-2022,289542858
Middle Class Income,16-04-2022,121798662
Lower middle income,16-04-2022,91173846
Low income,16-04-2022,2136155
High income,15-04-2022,289095407
Middle Class Income,15-04-2022,121721774
Lower middle income,15-04-2022,91144042
Low income,15-04-2022,2136004
High income,14-04-2022,288611085
Middle Class Income,14-04-2022,121630874
Lower middle income,14-04-2022,91060875
Low income,14-04-2022,2135682
High income,13-04-2022,287773230
Middle Class Income,13-04-2022,121538956
Lower middle income,13-04-2022,91028894
Low income,13-04-2022,2135155
High income,12-04-2022,286877093
Middle Class Income,12-04-2022,121397614
Lower middle income,12-04-2022,90993575
Low income,12-04-2022,2134625
High income,11-04-2022,285902857
Middle Class Income,11-04-2022,121290402
Lower middle income,11-04-2022,90956364
Low income,11-04-2022,2134453
High income,10-04-2022,285074779
Middle Class Income,10-04-2022,121196024
Lower middle income,10-04-2022,90893645
Low income,10-04-2022,2133723
High income,09-04-2022,284641277
Middle Class Income,09-04-2022,121105714
Lower middle income,09-04-2022,90855951
Low income,09-04-2022,2133608
High income,08-04-2022,284057083
Middle Class Income,08-04-2022,120993671
Lower middle income,08-04-2022,90810093
Low income,08-04-2022,2133540
High income,07-04-2022,283091690
Middle Class Income,07-04-2022,120863887
Lower middle income,07-04-2022,90731610
Low income,07-04-2022,2133402
High income,06-04-2022,282074449
Middle Class Income,06-04-2022,120709023
Lower middle income,06-04-2022,90625962
Low income,06-04-2022,2133155
High income,05-04-2022,281061416
Middle Class Income,05-04-2022,120577361
Lower middle income,05-04-2022,90551368
Low income,05-04-2022,2132875
High income,04-04-2022,279899620
Middle Class Income,04-04-2022,120452645
Lower middle income,04-04-2022,90473379
Low income,04-04-2022,2132570
High income,03-04-2022,278830141
Middle Class Income,03-04-2022,120351459
Lower middle income,03-04-2022,90411732
Low income,03-04-2022,2132215
High income,02-04-2022,278343204
Middle Class Income,02-04-2022,120256369
Lower middle income,02-04-2022,90300879
Low income,02-04-2022,2132154
High income,01-04-2022,277657899
Middle Class Income,01-04-2022,120146287
Lower middle income,01-04-2022,90223874
Low income,01-04-2022,2131937
High income,31-03-2022,276469205
Middle Class Income,31-03-2022,120018166
Lower middle income,31-03-2022,90122590
Low income,31-03-2022,2131706
High income,30-03-2022,275152784
Middle Class Income,30-03-2022,119880875
Lower middle income,30-03-2022,90013973
Low income,30-03-2022,2131196
High income,29-03-2022,273845685
Middle Class Income,29-03-2022,119695614
Lower middle income,29-03-2022,89910838
Low income,29-03-2022,2131011
High income,28-03-2022,272353130
Middle Class Income,28-03-2022,119567610
Lower middle income,28-03-2022,89780727
Low income,28-03-2022,2130759
High income,27-03-2022,270898301
Middle Class Income,27-03-2022,119463194
Lower middle income,27-03-2022,89496541
Low income,27-03-2022,2130471
High income,26-03-2022,270264288
Middle Class Income,26-03-2022,119359569
Lower middle income,26-03-2022,89383936
Low income,26-03-2022,2130121
High income,25-03-2022,269439298
Middle Class Income,25-03-2022,119227955
Lower middle income,25-03-2022,89216462
Low income,25-03-2022,2129897
High income,24-03-2022,268009387
Middle Class Income,24-03-2022,119076545
Lower middle income,24-03-2022,89039044
Low income,24-03-2022,2129600
High income,23-03-2022,266537546
Middle Class Income,23-03-2022,118908636
Lower middle income,23-03-2022,88898327
Low income,23-03-2022,2129306
High income,22-03-2022,265055083
Middle Class Income,22-03-2022,118748674
Lower middle income,22-03-2022,88737618
Low income,22-03-2022,2128911
High income,21-03-2022,263508042
Middle Class Income,21-03-2022,118594858
Lower middle income,21-03-2022,88462702
Low income,21-03-2022,2128502
High income,20-03-2022,261907743
Middle Class Income,20-03-2022,118467873
Lower middle income,20-03-2022,88311107
Low income,20-03-2022,2127781
High income,19-03-2022,261250879
Middle Class Income,19-03-2022,118345909
Lower middle income,19-03-2022,88129288
Low income,19-03-2022,2127611
High income,18-03-2022,260378946
Middle Class Income,18-03-2022,118184399
Lower middle income,18-03-2022,87683673
Low income,18-03-2022,2127377
High income,17-03-2022,258909489
Middle Class Income,17-03-2022,117982482
Lower middle income,17-03-2022,87463975
Low income,17-03-2022,2127219
High income,16-03-2022,257404938
Middle Class Income,16-03-2022,117795739
Lower middle income,16-03-2022,87078551
Low income,16-03-2022,2126585
High income,15-03-2022,255659310
Middle Class Income,15-03-2022,117604101
Lower middle income,15-03-2022,86780362
Low income,15-03-2022,2125920
High income,14-03-2022,254243751
Middle Class Income,14-03-2022,117420539
Lower middle income,14-03-2022,86572020
Low income,14-03-2022,2125186
High income,13-03-2022,252714771
Middle Class Income,13-03-2022,117242958
Lower middle income,13-03-2022,86281354
Low income,13-03-2022,2124718
High income,12-03-2022,251951643
Middle Class Income,12-03-2022,117105278
Lower middle income,12-03-2022,86044866
Low income,12-03-2022,2124398
High income,11-03-2022,251086682
Middle Class Income,11-03-2022,116905941
Lower middle income,11-03-2022,85548905
Low income,11-03-2022,2124000
High income,10-03-2022,249655719
Middle Class Income,10-03-2022,116691872
Lower middle income,10-03-2022,85322085
Low income,10-03-2022,2123609
High income,09-03-2022,248291285
Middle Class Income,09-03-2022,116451187
Lower middle income,09-03-2022,85057334
Low income,09-03-2022,2122776
High income,08-03-2022,246842961
Middle Class Income,08-03-2022,116226331
Lower middle income,08-03-2022,84742833
Low income,08-03-2022,2121775
High income,07-03-2022,245787149
Middle Class Income,07-03-2022,115962046
Lower middle income,07-03-2022,84480007
Low income,07-03-2022,2120989
High income,06-03-2022,244463317
Middle Class Income,06-03-2022,115739073
Lower middle income,06-03-2022,84286389
Low income,06-03-2022,2120149
High income,05-03-2022,243801280
Middle Class Income,05-03-2022,115540089
Lower middle income,05-03-2022,84038161
Low income,05-03-2022,2119674
High income,04-03-2022,243014842
Middle Class Income,04-03-2022,115268727
Lower middle income,04-03-2022,83806217
Low income,04-03-2022,2119148
High income,03-03-2022,241783978
Middle Class Income,03-03-2022,114970331
Lower middle income,03-03-2022,83573888
Low income,03-03-2022,2118614
High income,02-03-2022,240565380
Middle Class Income,02-03-2022,114662513
Lower middle income,02-03-2022,83326203
Low income,02-03-2022,2117879
High income,01-03-2022,239407274
Middle Class Income,01-03-2022,114389270
Lower middle income,01-03-2022,83099571
Low income,01-03-2022,2117253
High income,28-02-2022,238268481
Middle Class Income,28-02-2022,114107734
Lower middle income,28-02-2022,82922652
Low income,28-02-2022,2116476
High income,27-02-2022,237135793
Middle Class Income,27-02-2022,113830433
Lower middle income,27-02-2022,82724673
Low income,27-02-2022,2115651
High income,26-02-2022,236542657
Middle Class Income,26-02-2022,113543829
Lower middle income,26-02-2022,82552851
Low income,26-02-2022,2115081
High income,25-02-2022,235815235
Middle Class Income,25-02-2022,113181092
Lower middle income,25-02-2022,82369858
Low income,25-02-2022,2114368
High income,24-02-2022,234763976
Middle Class Income,24-02-2022,112762906
Lower middle income,24-02-2022,82185917
Low income,24-02-2022,2113696
High income,23-02-2022,233636332
Middle Class Income,23-02-2022,112307336
Lower middle income,23-02-2022,81982281
Low income,23-02-2022,2112905
High income,22-02-2022,232468578
Middle Class Income,22-02-2022,111786735
Lower middle income,22-02-2022,81754630
Low income,22-02-2022,2111973
High income,21-02-2022,231452426
Middle Class Income,21-02-2022,111330748
Lower middle income,21-02-2022,81554512
Low income,21-02-2022,2110999
High income,20-02-2022,230310954
Middle Class Income,20-02-2022,110931375
Lower middle income,20-02-2022,81392019
Low income,20-02-2022,2108846
High income,19-02-2022,229688483
Middle Class Income,19-02-2022,110534312
Lower middle income,19-02-2022,81218816
Low income,19-02-2022,2108104
High income,18-02-2022,228939719
Middle Class Income,18-02-2022,110006485
Lower middle income,18-02-2022,81019756
Low income,18-02-2022,2106873
High income,17-02-2022,227715425
Middle Class Income,17-02-2022,109459365
Lower middle income,17-02-2022,80809008
Low income,17-02-2022,2105847
High income,16-02-2022,226449031
Middle Class Income,16-02-2022,108876064
Lower middle income,16-02-2022,80597596
Low income,16-02-2022,2105001
High income,15-02-2022,225068275
Middle Class Income,15-02-2022,108247374
Lower middle income,15-02-2022,80368491
Low income,15-02-2022,2103990
High income,14-02-2022,223962243
Middle Class Income,14-02-2022,107692030
Lower middle income,14-02-2022,80160331
Low income,14-02-2022,2102924
High income,13-02-2022,222607137
Middle Class Income,13-02-2022,107209383
Lower middle income,13-02-2022,79956588
Low income,13-02-2022,2101417
High income,12-02-2022,221853401
Middle Class Income,12-02-2022,106739967
Lower middle income,12-02-2022,79775341
Low income,12-02-2022,2100360
High income,11-02-2022,220984974
Middle Class Income,11-02-2022,106104530
Lower middle income,11-02-2022,79557065
Low income,11-02-2022,2097963
High income,10-02-2022,219476046
Middle Class Income,10-02-2022,105427464
Lower middle income,10-02-2022,79320063
Low income,10-02-2022,2096265
High income,09-02-2022,217585268
Middle Class Income,09-02-2022,104751538
Lower middle income,09-02-2022,79075088
Low income,09-02-2022,2094095
High income,08-02-2022,216132695
Middle Class Income,08-02-2022,104044083
Lower middle income,08-02-2022,78804326
Low income,08-02-2022,2092106
High income,07-02-2022,214451621
Middle Class Income,07-02-2022,103379397
Lower middle income,07-02-2022,78553027
Low income,07-02-2022,2089908
High income,06-02-2022,212235963
Middle Class Income,06-02-2022,102862086
Lower middle income,06-02-2022,78313740
Low income,06-02-2022,2087659
High income,05-02-2022,211217453
Middle Class Income,05-02-2022,102358861
Lower middle income,05-02-2022,78074609
Low income,05-02-2022,2086309
High income,04-02-2022,210050319
Middle Class Income,04-02-2022,101701194
Lower middle income,04-02-2022,77799747
Low income,04-02-2022,2083285
High income,03-02-2022,208210125
Middle Class Income,03-02-2022,100891119
Lower middle income,03-02-2022,77496352
Low income,03-02-2022,2081568
High income,02-02-2022,206195824
Middle Class Income,02-02-2022,100056561
Lower middle income,02-02-2022,77154191
Low income,02-02-2022,2079452
High income,01-02-2022,204071928
Middle Class Income,01-02-2022,99339705
Lower middle income,01-02-2022,76812886
Low income,01-02-2022,2076765
High income,31-01-2022,201949050
Middle Class Income,31-01-2022,98672197
Lower middle income,31-01-2022,76477557
Low income,31-01-2022,2073446
High income,30-01-2022,198975985
Middle Class Income,30-01-2022,98122830
Lower middle income,30-01-2022,76142594
Low income,30-01-2022,2070511
High income,29-01-2022,197670918
Middle Class Income,29-01-2022,97618369
Lower middle income,29-01-2022,75777884
Low income,29-01-2022,2068764
High income,28-01-2022,196197094
Middle Class Income,28-01-2022,96938218
Lower middle income,28-01-2022,75373521
Low income,28-01-2022,2065116
High income,27-01-2022,193747107
Middle Class Income,27-01-2022,96112840
Lower middle income,27-01-2022,74971842
Low income,27-01-2022,2063335
High income,26-01-2022,191256391
Middle Class Income,26-01-2022,95336530
Lower middle income,26-01-2022,74543466
Low income,26-01-2022,2060015
High income,25-01-2022,188620459
Middle Class Income,25-01-2022,94663372
Lower middle income,25-01-2022,74094705
Low income,25-01-2022,2056330
High income,24-01-2022,186150020
Middle Class Income,24-01-2022,93914907
Lower middle income,24-01-2022,73664265
Low income,24-01-2022,2052288
High income,23-01-2022,183415360
Middle Class Income,23-01-2022,93414683
Lower middle income,23-01-2022,73269510
Low income,23-01-2022,2047570
High income,22-01-2022,182033060
Middle Class Income,22-01-2022,92845674
Lower middle income,22-01-2022,72840561
Low income,22-01-2022,2045908
High income,21-01-2022,180469421
Middle Class Income,21-01-2022,92252327
Lower middle income,21-01-2022,72354707
Low income,21-01-2022,2041245
High income,20-01-2022,177883984
Middle Class Income,20-01-2022,91515463
Lower middle income,20-01-2022,71849467
Low income,20-01-2022,2037948
High income,19-01-2022,175320484
Middle Class Income,19-01-2022,90869394
Lower middle income,19-01-2022,71333141
Low income,19-01-2022,2031733
High income,18-01-2022,172466620
Middle Class Income,18-01-2022,90106891
Lower middle income,18-01-2022,70870706
Low income,18-01-2022,2026796
High income,17-01-2022,169696211
Middle Class Income,17-01-2022,89549285
Lower middle income,17-01-2022,70440419
Low income,17-01-2022,2020948
High income,16-01-2022,167740194
Middle Class Income,16-01-2022,89078404
Lower middle income,16-01-2022,70098131
Low income,16-01-2022,2013666
High income,15-01-2022,166323617
Middle Class Income,15-01-2022,88712436
Lower middle income,15-01-2022,69714309
Low income,15-01-2022,2009377
High income,14-01-2022,164804220
Middle Class Income,14-01-2022,88205578
Lower middle income,14-01-2022,69321311
Low income,14-01-2022,2001576
High income,13-01-2022,162430383
Middle Class Income,13-01-2022,87676519
Lower middle income,13-01-2022,68916738
Low income,13-01-2022,1992845
High income,12-01-2022,160164703
Middle Class Income,12-01-2022,87139653
Lower middle income,12-01-2022,68544506
Low income,12-01-2022,1982255
High income,11-01-2022,157639929
Middle Class Income,11-01-2022,86604976
Lower middle income,11-01-2022,68168143
Low income,11-01-2022,1971553
High income,10-01-2022,155398098
Middle Class Income,10-01-2022,86130233
Lower middle income,10-01-2022,67868795
Low income,10-01-2022,1958843
High income,09-01-2022,152737836
Middle Class Income,09-01-2022,85808890
Lower middle income,09-01-2022,67609622
Low income,09-01-2022,1948170
High income,08-01-2022,151314578
Middle Class Income,08-01-2022,85505397
Lower middle income,08-01-2022,67339166
Low income,08-01-2022,1940921
High income,07-01-2022,149834455
Middle Class Income,07-01-2022,85128301
Lower middle income,07-01-2022,67075906
Low income,07-01-2022,1926611
High income,06-01-2022,147527408
Middle Class Income,06-01-2022,84735302
Lower middle income,06-01-2022,66837288
Low income,06-01-2022,1912152
High income,05-01-2022,145458498
Middle Class Income,05-01-2022,84367757
Lower middle income,05-01-2022,66625295
Low income,05-01-2022,1893390
High income,04-01-2022,143376333
Middle Class Income,04-01-2022,84053792
Lower middle income,04-01-2022,66457523
Low income,04-01-2022,1873788
High income,03-01-2022,141174973
Middle Class Income,03-01-2022,83791665
Lower middle income,03-01-2022,66338433
Low income,03-01-2022,1844420
High income,02-01-2022,139103588
Middle Class Income,02-01-2022,83623703
Lower middle income,02-01-2022,66247723
Low income,02-01-2022,1836321
High income,01-01-2022,138392056
Middle Class Income,01-01-2022,83509209
Lower middle income,01-01-2022,66165252
Low income,01-01-2022,1826847
High income,31-12-2021,137419511
Middle Class Income,31-12-2021,83368565
Lower middle income,31-12-2021,66091334
Low income,31-12-2021,1811644
High income,30-12-2021,136019641
Middle Class Income,30-12-2021,83171921
Lower middle income,30-12-2021,66006150
Low income,30-12-2021,1791259
High income,29-12-2021,134364184
Middle Class Income,29-12-2021,82978263
Lower middle income,29-12-2021,65927492
Low income,29-12-2021,1770345
High income,28-12-2021,132909546
Middle Class Income,28-12-2021,82815990
Lower middle income,28-12-2021,65862579
Low income,28-12-2021,1747716
High income,27-12-2021,131782761
Middle Class Income,27-12-2021,82678064
Lower middle income,27-12-2021,65808936
Low income,27-12-2021,1730218
High income,26-12-2021,130604675
Middle Class Income,26-12-2021,82568259
Lower middle income,26-12-2021,65767331
Low income,26-12-2021,1718187
High income,25-12-2021,130160493
Middle Class Income,25-12-2021,82485927
Lower middle income,25-12-2021,65726204
Low income,25-12-2021,1710374
High income,24-12-2021,129640779
Middle Class Income,24-12-2021,82384462
Lower middle income,24-12-2021,65680521
Low income,24-12-2021,1695688
High income,23-12-2021,128974216
Middle Class Income,23-12-2021,82266537
Lower middle income,23-12-2021,65623965
Low income,23-12-2021,1681081
High income,22-12-2021,128148843
Middle Class Income,22-12-2021,82149531
Lower middle income,22-12-2021,65571668
Low income,22-12-2021,1664276
High income,21-12-2021,127411834
Middle Class Income,21-12-2021,82039324
Lower middle income,21-12-2021,65515641
Low income,21-12-2021,1653194
High income,20-12-2021,126817150
Middle Class Income,20-12-2021,81937140
Lower middle income,20-12-2021,65463535
Low income,20-12-2021,1643865
High income,19-12-2021,126146652
Middle Class Income,19-12-2021,81846653
Lower middle income,19-12-2021,65422964
Low income,19-12-2021,1635517
High income,18-12-2021,125806344
Middle Class Income,18-12-2021,81755502
Lower middle income,18-12-2021,65374296
Low income,18-12-2021,1630938
High income,17-12-2021,125426393
Middle Class Income,17-12-2021,81657165
Lower middle income,17-12-2021,65327475
Low income,17-12-2021,1626461
High income,16-12-2021,124819537
Middle Class Income,16-12-2021,81551548
Lower middle income,16-12-2021,65278462
Low income,16-12-2021,1620522
High income,15-12-2021,124268979
Middle Class Income,15-12-2021,81436601
Lower middle income,15-12-2021,65205575
Low income,15-12-2021,1615080
High income,14-12-2021,123712369
Middle Class Income,14-12-2021,81313430
Lower middle income,14-12-2021,65150319
Low income,14-12-2021,1610024
High income,13-12-2021,123248220
Middle Class Income,13-12-2021,81197075
Lower middle income,13-12-2021,65097282
Low income,13-12-2021,1607159
High income,12-12-2021,122682751
Middle Class Income,12-12-2021,81105586
Lower middle income,12-12-2021,65061772
Low income,12-12-2021,1605775
High income,11-12-2021,122419635
Middle Class Income,11-12-2021,80987537
Lower middle income,11-12-2021,65017510
Low income,11-12-2021,1604877
High income,10-12-2021,122117460
Middle Class Income,10-12-2021,80883224
Lower middle income,10-12-2021,64959521
Low income,10-12-2021,1602746
High income,09-12-2021,121590584
Middle Class Income,09-12-2021,80770133
Lower middle income,09-12-2021,64908368
Low income,09-12-2021,1600556
High income,08-12-2021,121077246
Middle Class Income,08-12-2021,80643010
Lower middle income,08-12-2021,64851906
Low income,08-12-2021,1599488
High income,07-12-2021,120543748
Middle Class Income,07-12-2021,80523516
Lower middle income,07-12-2021,64794859
Low income,07-12-2021,1598395
High income,06-12-2021,120072810
Middle Class Income,06-12-2021,80405600
Lower middle income,06-12-2021,64746149
Low income,06-12-2021,1597009
High income,05-12-2021,119512529
Middle Class Income,05-12-2021,80303024
Lower middle income,05-12-2021,64707252
Low income,05-12-2021,1595135
High income,04-12-2021,119247732
Middle Class Income,04-12-2021,80200646
Lower middle income,04-12-2021,64655483
Low income,04-12-2021,1594664
High income,03-12-2021,118933894
Middle Class Income,03-12-2021,80084317
Lower middle income,03-12-2021,64614599
Low income,03-12-2021,1593640
High income,02-12-2021,118381318
Middle Class Income,02-12-2021,79961618
Lower middle income,02-12-2021,64560695
Low income,02-12-2021,1592331
High income,01-12-2021,117847285
Middle Class Income,01-12-2021,79842495
Lower middle income,01-12-2021,64507462
Low income,01-12-2021,1591475
High income,30-11-2021,117324735
Middle Class Income,30-11-2021,79718260
Lower middle income,30-11-2021,64452993
Low income,30-11-2021,1590672
High income,29-11-2021,116887145
Middle Class Income,29-11-2021,79606274
Lower middle income,29-11-2021,64403588
Low income,29-11-2021,1589585
High income,28-11-2021,116288460
Middle Class Income,28-11-2021,79504170
Lower middle income,28-11-2021,64363918
Low income,28-11-2021,1587935
High income,27-11-2021,116040191
Middle Class Income,27-11-2021,79407115
Lower middle income,27-11-2021,64320111
Low income,27-11-2021,1587508
High income,26-11-2021,115781144
Middle Class Income,26-11-2021,79301813
Lower middle income,26-11-2021,64266479
Low income,26-11-2021,1586974
High income,25-11-2021,115342788
Middle Class Income,25-11-2021,79182552
Lower middle income,25-11-2021,64211338
Low income,25-11-2021,1586382
High income,24-11-2021,114932705
Middle Class Income,24-11-2021,79054765
Lower middle income,24-11-2021,64152638
Low income,24-11-2021,1585629
High income,23-11-2021,114452517
Middle Class Income,23-11-2021,78931876
Lower middle income,23-11-2021,64099071
Low income,23-11-2021,1584983
High income,22-11-2021,114079138
Middle Class Income,22-11-2021,78793960
Lower middle income,22-11-2021,64019366
Low income,22-11-2021,1583790
High income,21-11-2021,113521560
Middle Class Income,21-11-2021,78688303
Lower middle income,21-11-2021,63978891
Low income,21-11-2021,1582933
High income,20-11-2021,113291431
Middle Class Income,20-11-2021,78584689
Lower middle income,20-11-2021,63933616
Low income,20-11-2021,1582454
High income,19-11-2021,113025412
Middle Class Income,19-11-2021,78467764
Lower middle income,19-11-2021,63879289
Low income,19-11-2021,1581970
High income,18-11-2021,112589516
Middle Class Income,18-11-2021,78349362
Lower middle income,18-11-2021,63820039
Low income,18-11-2021,1581129
High income,17-11-2021,112156594
Middle Class Income,17-11-2021,78223846
Lower middle income,17-11-2021,63757802
Low income,17-11-2021,1580387
High income,16-11-2021,111730515
Middle Class Income,16-11-2021,78096906
Lower middle income,16-11-2021,63696368
Low income,16-11-2021,1579685
High income,15-11-2021,111393496
Middle Class Income,15-11-2021,77983591
Lower middle income,15-11-2021,63640937
Low income,15-11-2021,1578800
High income,14-11-2021,110950826
Middle Class Income,14-11-2021,77873888
Lower middle income,14-11-2021,63592718
Low income,14-11-2021,1577929
High income,13-11-2021,110760264
Middle Class Income,13-11-2021,77769542
Lower middle income,13-11-2021,63540112
Low income,13-11-2021,1577405
High income,12-11-2021,110542988
Middle Class Income,12-11-2021,77652354
Lower middle income,12-11-2021,63480012
Low income,12-11-2021,1576503
High income,11-11-2021,110142018
Middle Class Income,11-11-2021,77521418
Lower middle income,11-11-2021,63413037
Low income,11-11-2021,1575793
High income,10-11-2021,109829972
Middle Class Income,10-11-2021,77383260
Lower middle income,10-11-2021,63343828
Low income,10-11-2021,1574653
High income,09-11-2021,109466081
Middle Class Income,09-11-2021,77248274
Lower middle income,09-11-2021,63270098
Low income,09-11-2021,1573820
High income,08-11-2021,109194812
Middle Class Income,08-11-2021,77111607
Lower middle income,08-11-2021,63210285
Low income,08-11-2021,1572349
High income,07-11-2021,108844845
Middle Class Income,07-11-2021,76990293
Lower middle income,07-11-2021,63158034
Low income,07-11-2021,1570951
High income,06-11-2021,108674668
Middle Class Income,06-11-2021,76877045
Lower middle income,06-11-2021,63101239
Low income,06-11-2021,1570596
High income,05-11-2021,108471285
Middle Class Income,05-11-2021,76742431
Lower middle income,05-11-2021,63034236
Low income,05-11-2021,1570024
High income,04-11-2021,108163935
